iter	RMSE
0	10906.36561
1	10872.31356
2	10841.46326
3	10811.27245
4	10780.28061
5	10750.3945
6	10719.98047
7	10687.98833
8	10657.22672
9	10630.68734
10	10602.65035
11	10572.6322
12	10544.11645
13	10517.63318
14	10489.48482
15	10464.40332
16	10436.77404
17	10409.74987
18	10381.83072
19	10357.13961
20	10332.04284
21	10309.31208
22	10285.49381
23	10259.96585
24	10234.33103
25	10209.70414
26	10184.62508
27	10160.03853
28	10135.27614
29	10111.05839
30	10089.38682
31	10070.59591
32	10049.54848
33	10026.97573
34	10004.80028
35	9982.822423
36	9963.63082
37	9941.251229
38	9920.467176
39	9899.750088
40	9878.317417
41	9858.922986
42	9839.289988
43	9818.928396
44	9800.164569
45	9780.326419
46	9760.241135
47	9742.514984
48	9724.584467
49	9706.277045
50	9691.361473
51	9674.487022
52	9654.922894
53	9636.294021
54	9621.0635
55	9602.951641
56	9586.326035
57	9570.439742
58	9552.349834
59	9535.064307
60	9519.963625
61	9504.683733
62	9487.763005
63	9470.712287
64	9456.28972
65	9439.873455
66	9423.929112
67	9407.480079
68	9393.978822
69	9377.625036
70	9362.77566
71	9347.926508
72	9333.192784
73	9319.077737
74	9307.23893
75	9295.525759
76	9281.255601
77	9268.184396
78	9258.710925
79	9247.478281
80	9234.257338
81	9220.053475
82	9208.946294
83	9196.865686
84	9185.145251
85	9175.261878
86	9162.245668
87	9150.962912
88	9140.177219
89	9129.294512
90	9116.486498
91	9103.663954
92	9091.06365
93	9082.026044
94	9070.985936
95	9060.004501
96	9049.416921
97	9038.540991
98	9028.823769
99	9017.439146
100	9007.262213
101	8995.924198
102	8986.784061
103	8975.431723
104	8964.144244
105	8954.445899
106	8944.980526
107	8937.682511
108	8928.421123
109	8918.955325
110	8908.689387
111	8898.194102
112	8889.211061
113	8881.240982
114	8871.237803
115	8864.079342
116	8854.361252
117	8846.16743
118	8838.704594
119	8829.843123
120	8820.85662
121	8813.658073
122	8806.264337
123	8798.853263
124	8790.976188
125	8782.970905
126	8775.724963
127	8768.14758
128	8761.434918
129	8752.673905
130	8744.449366
131	8735.775769
132	8726.998719
133	8718.875749
134	8712.174886
135	8703.905279
136	8696.470711
137	8688.682979
138	8680.419387
139	8672.075714
140	8666.195875
141	8659.516923
142	8651.958095
143	8645.526168
144	8639.079244
145	8631.504992
146	8624.792187
147	8618.586322
148	8611.925764
149	8604.421291
150	8598.447578
151	8592.232707
152	8585.35391
153	8578.690452
154	8572.189466
155	8565.399985
156	8559.276034
157	8552.974996
158	8546.981505
159	8539.613916
160	8533.675437
161	8527.613138
162	8521.72606
163	8515.019313
164	8509.279927
165	8502.335938
166	8496.911642
167	8491.421212
168	8485.723493
169	8479.502951
170	8473.382623
171	8467.791398
172	8462.482605
173	8457.1586
174	8450.838247
175	8445.027441
176	8438.759492
177	8433.511892
178	8427.705014
179	8421.263223
180	8415.858541
181	8410.034104
182	8405.019297
183	8399.658747
184	8394.673813
185	8388.866445
186	8383.264713
187	8378.631951
188	8373.211204
189	8367.928695
190	8363.143827
191	8358.329494
192	8352.796316
193	8347.679871
194	8342.699671
195	8337.382688
196	8331.448782
197	8325.982174
198	8321.219141
199	8315.878617
200	8310.993772
201	8305.635043
202	8300.660485
203	8295.552183
204	8289.874344
205	8284.530283
206	8278.988587
207	8274.028698
208	8269.493025
209	8264.931737
210	8260.456396
211	8255.146539
212	8250.556023
213	8245.684469
214	8240.53402
215	8235.968481
216	8231.435045
217	8226.968195
218	8222.263767
219	8217.505873
220	8212.544861
221	8207.863505
222	8202.807794
223	8198.131784
224	8193.665096
225	8189.09587
226	8184.045026
227	8179.283701
228	8174.915278
229	8170.259251
230	8166.415813
231	8162.240505
232	8158.290365
233	8153.933133
234	8149.818614
235	8145.360398
236	8141.075437
237	8136.655559
238	8132.346063
239	8127.977942
240	8123.860954
241	8119.231923
242	8114.938764
243	8110.781451
244	8106.295387
245	8101.906163
246	8097.324476
247	8093.174744
248	8088.929129
249	8084.521606
250	8080.613602
251	8076.330797
252	8072.436282
253	8068.412425
254	8064.113551
255	8059.979639
256	8056.155006
257	8052.069978
258	8047.684036
259	8043.400634
260	8039.220043
261	8035.356024
262	8031.112292
263	8027.033158
264	8023.084725
265	8018.731907
266	8014.698644
267	8010.716566
268	8006.716498
269	8002.730221
270	7998.813776
271	7994.918516
272	7990.632342
273	7986.349247
274	7982.033872
275	7978.100877
276	7974.258321
277	7970.607826
278	7966.665828
279	7962.667336
280	7958.918429
281	7955.041706
282	7951.291331
283	7947.549842
284	7943.987548
