iter	Passed	Remaining
0	1564	924490
1	1613	476111
2	3037	596300
3	4608	677439
4	5882	690615
5	7320	714988
6	7650	639329
7	7825	571240
8	7880	510478
9	9500	552933
10	9669	510748
11	9718	469714
12	11111	494898
13	11449	472702
14	11482	441690
15	12845	462441
16	12900	436344
17	13570	432732
18	13881	418633
19	13950	398992
20	15466	420549
21	17062	442067
22	18626	460806
23	19237	455298
24	19411	440257
25	19534	425248
26	19717	412597
27	19786	398555
28	19869	385745
29	21182	396811
30	22728	411305
31	24119	422097
32	25761	436382
33	27310	448212
34	28672	456305
35	28842	445458
36	30282	454236
37	30369	442759
38	31826	451279
39	31997	441563
40	32090	431269
41	33420	437643
42	34887	445419
43	36291	451990
44	37848	460071
45	38537	457426
46	40132	465362
47	40290	456626
48	41822	463462
49	42015	455451
50	43687	463432
51	45378	471235
52	45467	462391
53	45508	453402
54	47152	460376
55	48724	466367
56	50225	471413
57	51782	476753
58	51827	468201
59	52018	461232
60	53564	466277
61	55023	470359
62	55059	462322
63	55116	454708
64	56752	460133
65	57077	454887
66	58563	458895
67	58633	451825
68	60218	456442
69	60332	449904
70	60399	443210
71	61713	445706
72	63334	450283
73	63355	443489
74	64924	447549
75	66484	451397
76	66663	445869
77	68154	449119
78	69677	452460
79	71380	456833
80	72734	458853
81	72800	452785
82	74395	456232
83	75975	459473
84	77643	463122
85	79287	466504
86	79330	460481
87	80965	463711
88	82632	467010
89	84159	469425
90	84326	464260
91	84370	458533
92	84442	453081
93	86250	456946
94	87772	459186
95	88436	456922
96	90045	459510
97	91608	461780
98	93295	464594
99	93476	459906
100	95061	462128
101	95102	456865
102	96868	459891
103	98259	461065
104	98359	456199
105	99988	458437
106	101774	461312
107	103476	463728
108	105164	466005
109	106949	468632
110	106994	463643
111	108393	464544
112	110082	466632
113	111656	468172
114	111701	463317
115	113073	463992
116	114764	465925
117	116400	467576
118	117894	468607
119	117930	463859
120	118241	460261
121	119874	461813
122	121430	463017
123	122917	463914
124	124529	465242
125	126240	466889
126	127759	467781
127	129220	468424
128	130881	469753
129	130915	465252
130	132398	465920
131	133877	466543
132	133973	462358
133	135525	463215
134	137021	463843
135	138539	464514
136	140091	465268
137	141596	465830
138	143267	466906
139	143337	462775
140	144930	463572
141	146499	464259
142	148121	465082
143	149805	466062
144	151571	467256
145	152951	467235
146	154341	467223
147	155882	467647
148	157503	468282
149	159262	469292
150	160925	469988
151	162429	470189
152	164123	470917
153	165672	471198
154	167058	470998
155	168630	471300
156	170155	471449
157	171582	471309
158	173087	471364
159	174679	471634
160	176355	472108
161	178056	472619
162	179617	472734
163	181138	472728
164	182875	473260
165	182933	469456
166	184511	469566
167	185866	469091
168	187480	469255
169	188972	469097
170	190384	468723
171	191855	468483
172	193463	468561
173	194912	468237
174	194944	464525
175	196662	464838
176	196709	461211
177	198346	461323
178	200000	461453
179	200051	457895
180	201772	458167
181	203508	458453
182	205159	458525
183	206644	458212
184	208198	458036
185	208282	454638
186	209951	454708
187	211686	454901
188	213214	454632
189	214584	454015
190	216177	453858
191	217794	453737
192	219464	453711
193	221037	453467
194	222627	453246
195	224131	452836
196	225732	452611
197	227352	452408
198	228857	451964
199	230351	451489
200	231823	450960
201	233550	450914
202	235115	450541
203	235805	448492
204	235893	445320
205	237477	444981
206	239152	444801
207	240591	444168
208	242357	444128
209	244047	443934
210	245704	443666
211	247440	443525
212	249073	443187
213	250706	442836
214	250752	439691
215	252441	439435
216	254057	439040
217	255607	438519
218	255700	435508
219	257267	435016
220	259021	434827
221	260736	434561
222	262293	434019
223	263913	433572
224	263939	430514
225	265360	429742
226	265427	426789
227	266941	426169
228	268463	425556
229	270077	425078
230	270099	422103
231	271841	421822
232	273428	421291
233	274975	420688
234	276537	420101
235	278084	419483
236	279625	418848
237	281156	418191
238	282744	417610
239	284393	417110
240	285939	416450
